"";"idno";"INTNUM1";"rowsum"
"164";244;10092;16163069,3950828
"704";1203;15007;16167231,2787623
"1293";2071;39059;16194832,475795
"1344";2155;9074;16204901,1927089
"1078";1750;12045;16205054,5553202
"428";762;37001;16216167,4259433
"1055";1715;8265;16254677,6532431
"1677";2685;9091;16269576,9339552
"93";132;19021;16298696,874608
"1162";1875;2011;16304230,8324715
"449";793;1071;16306020,8930057
"546";964;10080;16365342,6324715
"1326";2119;30002;16390167,2277238
"619";1074;1040;16409013,938703
"199";302;21021;16423021,1042816
"1254";2013;23085;16466498,0799493
"460";808;22089;16506522,0241629
"855";1427;9063;16519778,0579908
"451";795;1071;16535530,4289107
"1353";2169;8187;16539023,5541333
"1680";2688;9091;16545234,2829166
"347";607;25072;16656235,2514626
"818";1379;15044;16657674,0099196
"344";602;25072;16660046,8223825
"59";80;15047;16690759,034252
"9";11;6049;16694364,191522
"196";298;21021;16699356,4449344
"224";360;23048;16714976,6378128
"1317";2106;18040;16721407,3760917
"98";141;19002;16747521,0734211
"615";1067;1040;16764933,517338
"1663";2665;19003;16768088,5523528
"180";266;24094;16771077,5956763
"452";796;22089;16777388,4093261
"1085";1757;12045;16786475,3808395
"388";671;20070;16789288,0271303
"1167";1880;2011;16802634,3066555
"35";50;18026;16831517,1422638
"948";1560;3156;16842748,9944893
"1406";2246;15043;16852737,1167445
"646";1119;39025;16866854,9226793
"36";51;18026;16872509,3001273
"492";875;9085;16892361,4158543
"1355";2171;8187;16892479,6259433
"480";844;10017;16901516,7404834
"395";695;22025;16902117,9108098
